[INFO] Capture started.
[2026-02-28 03:29:29] UDP | SRC: 192.168.18.23:59528 | DST: 104.18.32.47:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 192.168.18.23:59528 | DST: 104.18.32.47:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 192.168.18.23:59528 | DST: 104.18.32.47:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 192.168.18.23:59528 | DST: 104.18.32.47:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 192.168.18.23:59528 | DST: 104.18.32.47:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 192.168.18.23:59528 | DST: 104.18.32.47:443 | 404 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 192.168.18.23:59528 | DST: 104.18.32.47:443 | 303 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 104.18.32.47:443 | DST: 192.168.18.23:59528 | 23 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 104.18.32.47:443 | DST: 192.168.18.23:59528 | 23 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 104.18.32.47:443 | DST: 192.168.18.23:59528 | 23 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 104.18.32.47:443 | DST: 192.168.18.23:59528 | 23 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 104.18.32.47:443 | DST: 192.168.18.23:59528 | 23 bytes (HTTPS)
[2026-02-28 03:29:29] Other | SRC: N/A | DST: N/A | Ether / ARP who has 192.168.18.1 says 192.168.18.34
[2026-02-28 03:29:29] Other | SRC: N/A | DST: N/A | Ether / ARP who has 192.168.18.187 says 192.168.18.44
[2026-02-28 03:29:29] UDP | SRC: 142.251.221.10:443 | DST: 192.168.18.23:61326 | 77 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 192.168.18.23:61326 | DST: 142.251.221.10:443 | 32 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 104.18.32.47:443 | DST: 192.168.18.23:59528 | 731 bytes (HTTPS)
[2026-02-28 03:29:29] UDP | SRC: 192.168.18.23:59528 | DST: 104.18.32.47:443 | 44 bytes (HTTPS)
[2026-02-28 03:29:29] Other | SRC: N/A | DST: N/A | Ether / ARP who has 192.168.18.4 says 192.168.18.23
[2026-02-28 03:29:29] TCP | SRC: 192.168.18.23:59477 | DST: 54.151.204.41:443 | PSH-ACK (Data push) (HTTPS)
[2026-02-28 03:29:29] TCP | SRC: 192.168.18.23:63712 | DST: 35.74.10.178:443 | PSH-ACK (Data push) (HTTPS)
[2026-02-28 03:29:29] TCP | SRC: 192.168.18.23:53356 | DST: 54.151.204.41:443 | PSH-ACK (Data push) (HTTPS)
[2026-02-28 03:29:29] TCP | SRC: 192.168.18.23:50920 | DST: 35.74.10.178:443 | PSH-ACK (Data push) (HTTPS)
[2026-02-28 03:29:29] TCP | SRC: 192.168.18.23:64014 | DST: 54.151.204.41:443 | PSH-ACK (Data push) (HTTPS)
[2026-02-28 03:29:29] TCP | SRC: 54.151.204.41:443 | DST: 192.168.18.23:53356 | ACK (HTTPS)
[2026-02-28 03:29:29] TCP | SRC: 54.151.204.41:443 | DST: 192.168.18.23:59477 | ACK (HTTPS)
